Date,parks,grocery_and_pharmacy,retail_and_recreation,transit_stations,workplaces,residential,new_cases,Borough,crime
Mar,9.677419355,0.903225806,-25.16129032,-28.29032258,-23.83870968,10.64516129,290,Enfield,2367
Apr,19.23333333,-30.73333333,-68.26666667,-63.7,-65.43333333,26.9,694,Enfield,1860
May,80.16129032,-17.32258065,-58.58064516,-51.61290323,-54.29032258,21.5483871,146,Enfield,2206
Jun,75.93333333,-9.433333333,-43.5,-43.26666667,-43.06666667,17.2,48,Enfield,2345
Jul,76.90322581,-11.5483871,-28.25806452,-38.35483871,-39.38709677,12.77419355,53,Enfield,2506
Aug,63.6875,-14.87096774,-20.29032258,-39.83870968,-38.32258065,9.903225806,139,Enfield,2361
Sep,54.75,-8.433333333,-16.93333333,-32.33333333,-32.3,8.666666667,507,Enfield,2627
Oct,17.12903226,-8.64516129,-20.93548387,-34.70967742,-29.4516129,10.4516129,1824,Enfield,2652
Nov,15.76666667,-6.8,-39.23333333,-41.53333333,-35.56666667,14.13333333,2689,Enfield,2507
Dec,-8.967741935,-7.032258065,-34.74193548,-47.61290323,-41.87096774,15.80645161,11706,Enfield,2226
Mar,-4.419354839,1.225806452,-28.03225806,-28.64516129,-27.74193548,11.80645161,251,Greenwich,2072
Apr,-12.73333333,-29.86666667,-78.06666667,-67.96666667,-69.9,28.7,515,Greenwich,1660
May,42.35483871,-18.74193548,-71.32258065,-57.12903226,-60.80645161,24.19354839,131,Greenwich,2051
Jun,45.66666667,-8.7,-54.4,-45.73333333,-50.96666667,20.16666667,46,Greenwich,2193
Jul,53.70967742,-9.064516129,-36.77419355,-41.61290323,-46.16129032,15.61290323,49,Greenwich,2332
Aug,35.55,-13.38709677,-21.32258065,-38.12903226,-43.77419355,12.19354839,85,Greenwich,2227
Sep,32.33333333,-8.8,-20.9,-31.83333333,-42.06666667,10.86666667,311,Greenwich,2228
Oct,-3.548387097,-8.548387097,-28.19354839,-35.87096774,-39.83870968,12.74193548,1144,Greenwich,2217
Nov,-0.5,-7.733333333,-49.1,-43.53333333,-45.73333333,16.66666667,1938,Greenwich,2169
Dec,-3.967741935,-6.064516129,-42.70967742,-48.32258065,-50.19354839,17.96774194,7929,Greenwich,1874
Mar,11.06451613,0.806451613,-33,-35.93548387,-31.22580645,13.48387097,263,Hackney,2377
Apr,25.66666667,-26.9,-77.33333333,-76.33333333,-72.96666667,30.5,412,Hackney,1635
May,125.4516129,-12.03225806,-71.96774194,-67.4516129,-63.06451613,25.25806452,95,Hackney,2174
Jun,136.3333333,-3.733333333,-63.26666667,-58.23333333,-53.66666667,21.2,30,Hackney,2413
Jul,105.6774194,-7.935483871,-46.5483871,-50.09677419,-48.5483871,16.19354839,181,Hackney,2803
